"","family","genus","binomial","authority","year","number_of_synonyms","number_of_unique_synonyms","commonname","inCSchallenge","common_synonyms_from_HerpMapper","mivs"
"2872","Lamprophiidae","Thamnosophis","Thamnosophis martae","GLAW, FRANZEN & VENCES",2005,4,2,"Antsiranana Water Snake",0,"","no"
"2873","Colubridae","Macrocalamus","Macrocalamus chanardi","DAVID & PAUWELS",2005,2,0,"",0,"","no"
"2874","Colubridae","Macrocalamus","Macrocalamus vogeli","DAVID & PAUWELS",2005,2,0,"",0,"","no"
"2875","Leptotyphlopidae","Myriopholis","Myriopholis rouxestevae","TRAPE & MANE",2004,4,2,"",0,"","no"
"2876","Colubridae","Taeniophallus","Taeniophallus nebularis","SCHARGEL, RIVAS & MYERS",2005,2,0,"",0,"","no"
"2877","Elapidae","Micrurus","Micrurus renjifoi","LAMAR",2003,4,1,"",0,"","yes"
"2878","Viperidae","Porthidium","Porthidium porrasi","LAMAR",2003,2,0,"White-tailed Hognose Viper",0,"","yes"
"2879","Colubridae","Calamaria","Calamaria thanhi","ZIEGLER & QUYET",2005,3,0,"",0,"","no"
"2880","Boidae","Eryx","Eryx borrii","LANZA & NISTRI",2005,2,0,"",0,"","no"
"2881","Homalopsidae","Enhydris","Enhydris chanardi","MURPHY & VORIS",2005,6,2,"",0,"","no"
"2882","Leptotyphlopidae","Tricheilostoma","Tricheilostoma greenwelli","WALLACH & BOUNDY",2005,4,2,"",0,"","no"
"2883","Colubridae","Thrasops","Thrasops schmidti","LOVERIDGE",1936,5,2,"",0,"","unknown"
"2884","Boidae","Epicrates","Epicrates maurus","GRAY",1849,21,4,"Brown Rainbow Boa",0,"","no"
"2885","Elapidae","Laticauda","Laticauda saintgironsi","COGGER & HEATWOLE",2006,7,3,"",0,"","yes"
"2886","Elapidae","Laticauda","Laticauda guineai","HEATWOLE, BUSACK & COGGER",2005,2,0,"",0,"","yes"
"2887","Lamprophiidae","Heteroliodon","Heteroliodon fohy","GLAW, VENCES & NUSSBAUM",2005,2,0,"",0,"","no"
"2888","Colubridae","Apostolepis","Apostolepis ammodites","FERRAREZZI, ERRITTO BARBO &  ESPAÑA ALBUQUERQUE",2005,2,0,"",0,"","no"
"2889","Colubridae","Helicops","Helicops tapajonicus","DA FROTA",2005,2,0,"",0,"","no"
"2890","Colubridae","Hydrops","Hydrops caesurus","SCROCCHI, FERREIRA, GIRAUDO, AVILA & MOTTE",2005,9,1,"",0,"","no"
"2891","Colubridae","Lampropeltis","Lampropeltis webbi","BRYSON, DIXON & LAZCANO",2005,3,0,"Durango Kingsnake",0,"","no"
"2892","Lamprophiidae","Compsophis","Compsophis fatsibe","MERCURIO & ANDREONE",2005,3,2,"",0,"","no"
"2893","Colubridae","Dipsas","Dipsas alternans","FISCHER",1885,9,5,"",0,"","no"
"2894","Colubridae","Phalotris","Phalotris matogrossensis","LEMA, D’AGOSTINI & CAPPELARI",2005,3,0,"",0,"","no"
"2895","Colubridae","Thamnodynastes","Thamnodynastes sertanejo","BAILEY, THOMAS & DA SILVA",2005,2,0,"",0,"","no"
"2896","Colubridae","Thamnodynastes","Thamnodynastes lanei","BAILEY, THOMAS & DA SILVA",2005,7,3,"",0,"","no"
"2897","Colubridae","Clelia","Clelia plumbea","WIED-NEUWIED",1820,8,3,"",0,"","no"
"2898","Elapidae","Bungarus","Bungarus slowinskii","KUCH, KIZIRIAN, NGUYEN, LAWSON, DONNELLY & MEBS",2005,2,0,"",0,"","yes"
"2899","Homalopsidae","Homalophis","Homalophis gyii","MURPHY, VORIS & AULIYA",2005,7,3,"",0,"","no"
"2900","Gerrhopilidae","Gerrhopilus","Gerrhopilus hades","KRAUS",2005,3,1,"Milne Bay Worm Snake",0,"","no"
"2901","Colubridae","Clelia","Clelia langeri","REICHLE & EMBERT",2005,2,0,"",0,"","no"
"2902","Colubridae","Coniophanes","Coniophanes sarae","PONCE-CAMPOS & SMITH",2001,4,0,"Chinicuila Black-striped Snake",0,"","no"
"2903","Colubridae","Thamnophis","Thamnophis bogerti","ROSSMAN & BURBRINK",2005,3,0,"",0,"","no"
"2904","Colubridae","Thamnophis","Thamnophis conanti","ROSSMAN & BURBRINK",2005,2,0,"",0,"","no"
"2905","Colubridae","Thamnophis","Thamnophis lineri","ROSSMAN & BURBRINK",2005,3,0,"",0,"","no"
"2906","Colubridae","Sibon","Sibon lamari","SOLORZANO",2001,3,0,"",0,"","no"
"2907","Colubridae","Sibon","Sibon miskitus","MCCRANIE",2006,2,0,"",0,"","no"
"2908","Colubridae","Apostolepis","Apostolepis nelsonjorgei","DE LEMA & RENNER",2004,2,0,"",0,"","no"
"2909","Colubridae","Apostolepis","Apostolepis christineae","DE LEMA",2002,3,0,"",0,"","no"
"2910","Colubridae","Hebius","Hebius andreae","ZIEGLER & LE KHAC QUYET",2006,4,1,"Andreaâ€™s Keelback",0,"","no"
"2911","Colubridae","Rhabdophis","Rhabdophis callistus","GÜNTHER",1873,5,1,"",0,"","no"
"2912","Colubridae","Atractus","Atractus caxiuana","DA COSTA PRUDENTE & SANTOS-COSTA",2006,2,0,"",0,"","no"
"2913","Lamprophiidae","Micrelaps","Micrelaps tchernovi","WERNER",2006,2,0,"",0,"","no"
"2914","Colubridae","Atractus","Atractus matthewi","MARKEZICH & BARRIO-AMORÓS",2004,3,1,"",0,"","no"
"2915","Colubridae","Atractus","Atractus meridensis","ESQUEDA & LA MARCA",2005,3,0,"",0,"","no"
"2916","Colubridae","Atractus","Atractus micheleae","ESQUEDA & LA MARCA",2005,2,0,"",0,"","no"
"2917","Colubridae","Atractus","Atractus mijaresi","ESQUEDA & LA MARCA",2005,2,0,"",0,"","no"
"2918","Colubridae","Atractus","Atractus ochrosetrus","ESQUEDA & LA MARCA",2005,3,0,"",0,"","no"
"2919","Colubridae","Atractus","Atractus tamaensis","ESQUEDA & LA MARCA",2005,2,0,"",0,"","no"
"2920","Colubridae","Geophis","Geophis nephodrymus","TOWNSEND & WILSON",2006,3,0,"",0,"","no"
"2921","Colubridae","Thamnodynastes","Thamnodynastes ramonriveroi","MANZANILLA & SÁNCHEZ",2005,4,1,"",0,"","no"
"2922","Tropidophiidae","Tropidophis","Tropidophis xanthogaster","DOMÍNGUEZ, MORENO & HEDGES",2006,2,0,"",0,"","no"
"2923","Viperidae","Trimeresurus","Trimeresurus andalasensis","DAVID, VOGEL, VIJAYAKUMAR & VIDAL",2006,12,5,"Sumatran Pitviper",0,"","yes"
"2924","Colubridae","Philodryas","Philodryas georgeboulengeri","GRAZZIOTIN, ZAHER, MURPHY, SCROCCHI, BENAVIDES, ZHANG & BONATTO",2012,9,3,"",0,"","no"
"2925","Viperidae","Crotalus","Crotalus oreganus","HOLBROOK",1840,25,5,"Western Rattlesnake",1,"","yes"
"2926","Leptotyphlopidae","Trilepida","Trilepida fuliginosa","PASSOS, CARAMASCHI & PINTO",2006,8,3,"",0,"","no"
"2927","Colubridae","Atractus","Atractus tamessari","KOK",2006,4,0,"",0,"","no"
"2928","Colubridae","Dendrelaphis","Dendrelaphis kopsteini","VOGEL & VAN ROOIJEN",2007,17,3,"Red-necked Bronzeback",0,"","no"
"2929","Colubridae","Xenochrophis","Xenochrophis melanzostus","GRAVENHORST",1807,20,11,"Javanese Keelback",0,"","no"
"2930","Colubridae","Dendrelaphis","Dendrelaphis caudolineolatus","GÜNTHER",1869,8,3,"Striped Bronzeback",0,"","no"
"2931","Anomalepididae","Liotyphlops","Liotyphlops trefauti","FREIRE, CARAMASCHI, SUZART ARGOLO",2007,2,0,"",0,"","no"
"2932","Colubridae","Calamodontophis","Calamodontophis ronaldoi","FRANCO, DE CARVALHO CINTRA & DE LEMA",2006,4,1,"",0,"","no"
"2933","Colubridae","Muhtarophis","Muhtarophis barani","OLGUN, AVCI, ILGAZ, ÜZÜM & YILMAZ",2007,5,1,"",0,"","no"
"2934","Colubridae","Geophis","Geophis nigroalbus","BOULENGER",1908,6,4,"",0,"","no"
"2935","Colubridae","Geophis","Geophis rostralis","JAN",1865,11,3,"Sierra Madre Earth Snake",0,"","no"
"2936","Lamprophiidae","Prosymna","Prosymna greigerti","MOCQUARD",1906,19,5,"Greigert's Shovelsnout Snake",0,"","no"
"2937","Leptotyphlopidae","Myriopholis","Myriopholis erythraeus","SCORTECCI",1929,19,7,"",0,"","no"
"2938","Colubridae","Dasypeltis","Dasypeltis confusa","TRAPE & MANÉ",2006,12,1,"",0,"","no"
"2939","Colubridae","Dasypeltis","Dasypeltis gansi","TRAPE & MANÉ",2006,4,0,"",0,"","no"
"2940","Colubridae","Dasypeltis","Dasypeltis sahelensis","TRAPE & MANÉ",2006,3,0,"",0,"","no"
"2941","Lamprophiidae","Gonionotophis","Gonionotophis gabouensis","TRAPE & MANÉ",2005,4,1,"",0,"","no"
"2942","Lamprophiidae","Atractaspis","Atractaspis watsoni","BOULENGER",1908,5,1,"",0,"","yes"
"2943","Colubridae","Rhadinella","Rhadinella pegosalyta","MCCRANIE",2006,3,1,"",0,"","no"
"2944","Lamprophiidae","Psammophis","Psammophis mossambicus","PETERS",1882,8,3,"Olive Sand Snake",0,"","no"
"2945","Elapidae","Oxyuranus","Oxyuranus temporalis","DOUGHTY, MARYAN, DONNELLAN & HUTCHINSON",2007,2,0,"Western Desert Taipan",0,"","yes"
"2946","Typhlopidae","Letheobia","Letheobia pauwelsi","WALLACH",2005,2,0,"",0,"","no"
"2947","Colubridae","Atractus","Atractus attenuates","MYERS & SCHARGEL",2006,3,1,"",0,"","no"
"2948","Colubridae","Atractus","Atractus gigas","MYERS & SCHARGEL",2006,2,0,"",0,"","no"
"2949","Leptotyphlopidae","Myriopholis","Myriopholis braccianii","SCORTECCI",1929,15,9,"",0,"","no"
"2950","Leptotyphlopidae","Myriopholis","Myriopholis ionidesi","BROADLEY & WALLACH",2007,6,2,"",0,"","no"
"2951","Leptotyphlopidae","Myriopholis","Myriopholis tanae","BROADLEY & WALLACH",2007,9,4,"",0,"","no"
"2952","Leptotyphlopidae","Leptotyphlops","Leptotyphlops howelli","BROADLEY & WALLACH",2007,6,1,"",0,"","no"
"2953","Leptotyphlopidae","Leptotyphlops","Leptotyphlops mbanjensis","BROADLEY & WALLACH",2007,6,1,"",0,"","no"
"2954","Leptotyphlopidae","Leptotyphlops","Leptotyphlops keniensis","BROADLEY & WALLACH",2007,7,3,"",0,"","no"
"2955","Leptotyphlopidae","Leptotyphlops","Leptotyphlops aethiopicus","BROADLEY & WALLACH",2007,12,4,"",0,"","no"
"2956","Leptotyphlopidae","Leptotyphlops","Leptotyphlops nigroterminus","BROADLEY & WALLACH",2007,7,3,"",0,"","no"
"2957","Typhlopidae","Typhlops","Typhlops proancylops","THOMAS & HEDGES",2007,3,0,"",0,"","no"
"2958","Typhlopidae","Typhlops","Typhlops agoralionis","THOMAS & HEDGES",2007,3,0,"",0,"","no"
"2959","Typhlopidae","Typhlops","Typhlops sylleptor","THOMAS & HEDGES",2007,3,0,"",0,"","no"
"2960","Typhlopidae","Typhlops","Typhlops eperopeus","THOMAS & HEDGES",2007,3,0,"",0,"","no"
"2961","Typhlopidae","Cubatyphlops","Cubatyphlops perimychus","THOMAS & HEDGES",2007,4,1,"",0,"","no"
"2962","Typhlopidae","Cubatyphlops","Cubatyphlops arator","THOMAS & HEDGES",2007,4,1,"",0,"","no"
"2963","Typhlopidae","Cubatyphlops","Cubatyphlops anousius","THOMAS & HEDGES",2007,4,1,"",0,"","no"
"2964","Typhlopidae","Cubatyphlops","Cubatyphlops notorachius","THOMAS & HEDGES",2007,4,1,"",0,"","no"
"2965","Typhlopidae","Cubatyphlops","Cubatyphlops contorhinus","THOMAS & HEDGES",2007,4,1,"",0,"","no"
"2966","Typhlopidae","Cubatyphlops","Cubatyphlops anchaurus","THOMAS & HEDGES",2007,4,1,"",0,"","no"
"2967","Typhlopidae","Cubatyphlops","Cubatyphlops satelles","THOMAS & HEDGES",2007,4,1,"",0,"","no"
"2968","Colubridae","Sibon","Sibon manzanaresi","MCCRANIE",2007,2,0,"",0,"","no"
"2969","Colubridae","Pseudoeryx","Pseudoeryx relictualis","SCHARGEL, RIVAS-FUENMAYOR, BARROS, PÉFAUR & NAVARETTE",2007,2,0,"",0,"","no"
"2970","Colubridae","Hebius","Hebius leucomystax","DAVID, BAIN, QUANG TRUONG, ORLOV, VOGEL, NGOC THANH & ZIEGLER",2007,4,1,"White-lipped Keelback",0,"","no"
"2971","Elapidae","Micrurus","Micrurus silviae","DI BERNARDO, BORGES-MARTINS & DA SILVA",2007,2,0,"",0,"","yes"
"2972","Lamprophiidae","Liopholidophis","Liopholidophis dimorphus","GLAW, NAGY, FRANZEN & VENCES",2007,2,0,"Striped Water Snake",0,"","no"
"2973","Viperidae","Tropidolaemus","Tropidolaemus laticinctus","KUCH, GUMPRECHT & MELAUN",2007,12,7,"Broad-Banded Temple Pitviper",0,"","yes"
"2974","Colubridae","Lycodon","Lycodon flavicollis","MUKHERJEE & BHUPATHY",2007,2,0,"Yellow-collared Wolf Snake",0,"","no"
"2975","Colubridae","Tantilla","Tantilla ceboruca","CANSECO-MÁRQUEZ, SMITH, PONCE-CAMPOS, FLORES-VILLELA & CAMPBELL",2007,3,0,"",0,"","no"
"2976","Viperidae","Trimeresurus","Trimeresurus wiroti","TRUTNAU",1981,4,1,"Wirot's Pitviper",0,"","yes"
"2977","Colubridae","Conopsis","Conopsis acuta","COPE",1886,9,5,"Small Earthsnake",0,"","no"
"2978","Typhlopidae","Letheobia","Letheobia jubana","BROADLEY & WALLACH",2007,6,3,"",0,"","no"
"2979","Typhlopidae","Letheobia","Letheobia pembana","BROADLEY & WALLACH",2007,9,2,"",0,"","no"
"2980","Typhlopidae","Letheobia","Letheobia swahilica","BROADLEY & WALLACH",2007,19,3,"",0,"","no"
"2981","Typhlopidae","Letheobia","Letheobia toritensis","BROADLEY & WALLACH",2007,4,2,"",0,"","no"
"2982","Typhlopidae","Letheobia","Letheobia largeni","BROADLEY & WALLACH",2007,5,1,"",0,"","no"
"2983","Colubridae","Erythrolamprus","Erythrolamprus dorsocorallinus","ESQUEDA, NATERA, LA MARCA & ILIJA-FISTAR",2007,2,1,"",0,"","no"
"2984","Colubridae","Opisthotropis","Opisthotropis maculosa","STUART & CHUAYNKERN",2007,4,1,"Yellow-spotted Mountain Stream Snake",0,"","no"
"2985","Colubridae","Calamaria","Calamaria butonensis","HOWARD & GILLESPIE",2007,2,0,"",0,"","no"
"2986","Colubridae","Calamaria","Calamaria longirostris","HOWARD & GILLESPIE",2007,2,0,"",0,"","no"
"2987","Elapidae","Naja","Naja ashei","WÜSTER & BROADLEY",2007,6,2,"Ashe's Spitting Cobra",0,"","yes"
"2988","Lamprophiidae","Psammophis","Psammophis trinasalis","WERNER",1902,9,4,"Fork-marked Sand Snake",0,"","no"
"2989","Lamprophiidae","Psammophis","Psammophis namibensis","BROADLEY",1975,7,1,"Namib Sand Snake",0,"","no"
"2990","Colubridae","Thamnodynastes","Thamnodynastes paraguanae","BAILEY & THOMAS",2007,2,0,"",0,"","no"
"2991","Colubridae","Thamnodynastes","Thamnodynastes dixoni","BAILEY & THOMAS",2007,2,0,"",0,"","no"
"2992","Colubridae","Thamnodynastes","Thamnodynastes ceibae","BAILEY & THOMAS",2007,2,0,"",0,"","no"
"2993","Elapidae","Naja","Naja nigricincta","BOGERT",1940,24,7,"Zebra Spitting Cobra",0,"","yes"
"2994","Viperidae","Tropidolaemus","Tropidolaemus subannulatus","GRAY",1842,8,4,"North Philippine Temple Pitviper",0,"","yes"
"2995","Viperidae","Tropidolaemus","Tropidolaemus philippensis","GRAY",1842,8,3,"South Philippine Temple Pitviper",0,"","yes"
"2996","Colubridae","Atractus","Atractus eriki","ESQUEDA, LA MARCA & BAZÓ",2007,2,0,"",0,"","no"
"2997","Colubridae","Hydrodynastes","Hydrodynastes melanogigas","FRANCO, FERNANDES & BENTIM",2007,4,1,"",0,"","no"
"2998","Viperidae","Pseudocerastes","Pseudocerastes urarachnoides","BOSTANCHI, ANDERSON, KAMI & PAPENFUSS",2006,3,0,"",0,"","yes"
"2999","Colubridae","Pseudoboa","Pseudoboa martinsi","ZAHER, OLIVEIRA & FRANCO",2008,2,0,"",0,"","no"
"3000","Elapidae","Demansia","Demansia quaesitor","SHEA",2007,3,0,"",0,"","no"
"3001","Elapidae","Demansia","Demansia rimicola","SCANLON",2007,3,0,"",0,"","no"
"3002","Elapidae","Demansia","Demansia shinei","SHEA",2007,3,0,"",0,"","no"
"3003","Typhlopidae","Acutotyphlops","Acutotyphlops banaorum","WALLACH, BROWN, DIESMOS & GEE",2007,3,0,"",0,"","no"
"3004","Xenodermidae","Xylophis","Xylophis captaini","GOWER & WINKLER",2007,2,0,"",0,"","no"
"3005","Elapidae","Hydrophis","Hydrophis pachycercos","FISCHER",1855,6,1,"",0,"","yes"
"3006","Elapidae","Elapsoidea","Elapsoidea boulengeri","BOETTGER",1895,14,5,"Boulenger's Garter Snake",0,"","no"
"3007","Colubridae","Dendrelaphis","Dendrelaphis haasi","VAN ROOIJEN & VOGEL",2008,4,1,"Haas's Bronzeback",0,"","no"
"3008","Colubridae","Apostolepis","Apostolepis cerradoensis","DE LEMA",2003,2,0,"",0,"","no"
"3009","Colubridae","Apostolepis","Apostolepis serrana","DE LEMA & RENNER",2006,2,0,"",0,"","no"
"3010","Colubridae","Apostolepis","Apostolepis striata","DE LEMA",2004,2,0,"",0,"","no"
"3011","Colubridae","Atractus","Atractus charitoae","SILVA HAAD",2004,3,0,"",0,"","no"
"3012","Colubridae","Atractus","Atractus franciscopaivai","SILVA HAAD",2004,3,0,"",0,"","no"
"3013","Colubridae","Atractus","Atractus heliobelluomini","SILVA HAAD",2004,3,0,"",0,"","no"
"3014","Colubridae","Opisthotropis","Opisthotropis cheni","ZHAO",1999,3,0,"Mang Mountain Stream Snake",0,"","no"
"3015","Colubridae","Platyceps","Platyceps afarensis","SCHÄTTI & INEICH",2004,2,0,"Djibouti Slender Racer",0,"","no"
"3016","Colubridae","Tropidodipsas","Tropidodipsas repleta","SMITH, LEMOS-ESPINAL, HARTMAN & CHISZAR",2005,2,0,"",0,"","no"
"3017","Colubridae","Telescopus","Telescopus tripolitanus","WERNER",1909,9,5,"",0,"","no"
"3018","Colubridae","Macroprotodon","Macroprotodon abubakeri","WADE",2001,4,0,"",0,"","no"
"3019","Colubridae","Dasypeltis","Dasypeltis abyssina","DUMÉRIL, BIBRON  & DUMÉRIL",1854,16,6,"",0,"","no"
"3020","Colubridae","Atractus","Atractus zebrinus","JAN",1862,10,5,"",0,"","no"
"3021","Colubridae","Pseudalsophis","Pseudalsophis slevini","VAN DENBURGH",1912,6,4,"Banded Galapagos Snake",0,"","no"
"3022","Colubridae","Pseudalsophis","Pseudalsophis steindachneri","VAN DENBURGH",1912,5,2,"Steindachner's Striped Racer",0,"","no"
"3023","Colubridae","Pseudalsophis","Pseudalsophis dorsalis","STEINDACHNER",1876,8,4,"Santa Cruz Striped Racer",0,"","no"
"3024","Colubridae","Eirenis","Eirenis collaris","MÉNÉTRIES",1832,18,9,"Collared Dwarf Racer",0,"","no"
"3025","Colubridae","Atractus","Atractus ronnie","PASSOS, FERNANDES & BORGES-NOJOSA",2007,2,0,"",0,"","no"
"3026","Homalopsidae","Cerberus","Cerberus australis","GRAY",1842,11,2,"Australian Bockadam",0,"","no"
"3027","Homalopsidae","Calamophis","Calamophis jobiensis","MEYER",1874,8,1,"",0,"","no"
"3028","Elapidae","Micrurus","Micrurus albicinctus","AMARAL",1925,7,1,"",0,"","yes"
"3029","Elapidae","Micrurus","Micrurus brasiliensis","ROZE",1967,6,1,"",0,"","yes"
"3030","Colubridae","Dendrelaphis","Dendrelaphis underwoodi","VAN ROOIJEN & VOGEL",2008,2,0,"Underwood's Bronzeback",0,"","no"
"3031","Viperidae","Trimeresurus","Trimeresurus honsonensis","GRISMER, NGO & GRISMER",2008,3,2,"Hon Son Island Pitviper",0,"","yes"
"3032","Elapidae","Micrurus","Micrurus baliocoryphus","COPE",1860,10,2,"",0,"","yes"
"3033","Elapidae","Micrurus","Micrurus oligoanellatus","AYERBE & LÓPEZ",2005,3,0,"",0,"","yes"
"3034","Elapidae","Micrurus","Micrurus serranus","HARVEY, APARICIO & GONZALEZ",2003,3,1,"",0,"","yes"
"3035","Viperidae","Bothrops","Bothrops chloromelas","BOULENGER",1912,8,4,"Green and Black Lancehead",0,"","yes"
"3036","Typhlopidae","Anilios","Anilios ammodytes","MONTAGUE",1914,19,7,"Ammodyte Blind Snake",0,"","no"
"3037","Elapidae","Demansia","Demansia angusticeps","MACLEAY",1888,3,1,"",0,"","no"
"3038","Elapidae","Demansia","Demansia flagellatio","WELLS & WELLINGTON",1985,3,0,"",0,"","no"
"3039","Elapidae","Micrurus","Micrurus circinalis","DUMÉRIL, BIBRON  & DUMÉRIL",1854,13,5,"",0,"","yes"
"3040","Elapidae","Micrurus","Micrurus ornatissimus","JAN",1858,10,4,"Ornate Coralsnake",0,"","yes"
"3041","Colubridae","Dendrelaphis","Dendrelaphis schokari","KUHL",1820,4,2,"Sri Lankan Bronzeback",0,"","no"
"3042","Viperidae","Gloydius","Gloydius brevicaudus","STEJNEGER",1907,22,4,"Short-tailed Mamushi",1,"","yes"
"3043","Xenodermidae","Fimbrios","Fimbrios smithi","ZIEGLER, DAVID, MIRALLES, VAN KIEN & QUANG TRUONG",2008,2,0,"",0,"","no"
"3044","Colubridae","Hapsidophrys","Hapsidophrys principis","BOULENGER",1906,4,1,"",0,"","no"
"3045","Viperidae","Lachesis","Lachesis acrochorda","GARCIA",1896,5,2,"",0,"","yes"
"3046","Viperidae","Ovophis","Ovophis zayuensis","JIANG",1977,11,2,"",0,"","yes"
"3047","Lamprophiidae","Psammophis","Psammophis indochinensis","SMITH",1943,9,1,"Indochinese Sand Racer",0,"","no"
"3048","Colubridae","Erythrolamprus","Erythrolamprus taeniogaster","JAN",1863,8,2,"",0,"","no"
"3049","Colubridae","Erythrolamprus","Erythrolamprus ingeri","ROZE",1958,5,1,"",0,"","no"
"3050","Colubridae","Trimorphodon","Trimorphodon lambda","COPE",1886,12,4,"Sonoran Lyre Snake",0,"Trimorphodon biscutatus lambda","no"
"3051","Colubridae","Trimorphodon","Trimorphodon lyrophanes","COPE",1860,13,4,"California Lyre Snake",0,"Trimorphodon vandenburghi, Trimorphodon biscutatus vandenburghi, Trimorphodon biscutatus lyrophanes","no"
"3052","Colubridae","Trimorphodon","Trimorphodon quadruplex","SMITH",1941,6,1,"Central American Lyre Snake",0,"Trimorphodon biscutatus quadruplex","no"
"3053","Colubridae","Trimorphodon","Trimorphodon vilkinsonii","COPE",1886,15,4,"Texas Lyre Snake",0,"Trimorphodon biscutatus vilkinsonii","no"
"3054","Elapidae","Walterinnesia","Walterinnesia morgani","MOCQUARD",1905,6,3,"",0,"","yes"
"3055","Colubridae","Xenodon","Xenodon nattereri","STEINDACHNER",1867,6,2,"",0,"","no"
"3056","Typhlopidae","Ramphotyphlops","Ramphotyphlops becki","TANNER",1948,4,1,"",0,"","no"
"3057","Lamprophiidae","Psammophis","Psammophis orientalis","BROADLEY",1977,7,1,"Eastern Sand Racer",0,"","no"
"3058","Lamprophiidae","Psammophis","Psammophis sudanensis","WERNER",1919,12,1,"Sudanese Sand Racer",0,"","no"
"3059","Colubridae","Trimorphodon","Trimorphodon paucimaculatus","TAYLOR",1938,5,1,"Sinaloan Lyre Snake",0,"","no"
"3060","Colubridae","Hypsiglena","Hypsiglena affinis","BOULENGER",1894,4,1,"Boulengers's Night Snake",0,"","no"
"3061","Colubridae","Hypsiglena","Hypsiglena jani","DUGÈS",1865,23,7,"Chihuahuan Night Snake",0,"Hypsiglena torquata jani","no"
"3062","Colubridae","Hypsiglena","Hypsiglena chlorophaea","COPE",1860,22,3,"Desert Night Snake",0,"","no"
"3063","Colubridae","Hypsiglena","Hypsiglena ochrorhynchus","COPE",1860,23,4,"Coast Night Snake",0,"Hypsiglena torquata ochrorhynchus","no"
"3064","Viperidae","Crotalus","Crotalus simus","LATREILLE",1801,10,2,"Middle American Rattlesnake ",0,"","yes"
"3065","Viperidae","Crotalus","Crotalus totonacus","GLOYD & KAUFFELD",1940,11,4,"Totonacan Rattlesnake",0,"","yes"
"3066","Viperidae","Crotalus","Crotalus tzabcan","KLAUBER",1952,6,3,"Yucatan Neotropical Rattlesnake",0,"","yes"
"3067","Viperidae","Crotalus","Crotalus culminatus","KLAUBER",1952,9,4,"Northwestern Neotropical Rattlesnake ",0,"","yes"
"3068","Viperidae","Crotalus","Crotalus ericsmithi","CAMPBELL & FLORES-VILLELA",2008,4,1,"Guerreran Long-tailed Rattlesnake",0,"","yes"
"3069","Leptotyphlopidae","Tetracheilostoma","Tetracheilostoma carlae","HEDGES",2008,4,1,"",0,"","no"
"3070","Leptotyphlopidae","Tetracheilostoma","Tetracheilostoma breuili","HEDGES",2008,3,1,"",0,"","no"
"3071","Colubridae","Geophis","Geophis tectus","SAVAGE & WATLING",2008,7,1,"",0,"","no"
"3072","Elapidae","Calliophis","Calliophis haematoetron","SMITH, MANAMENDRA-ARACHCHI & SOMAWEERA",2008,7,2,"",0,"","yes"
"3073","Colubridae","Opisthotropis","Opisthotropis tamdaoensis","ZIEGLER, DAVID & VU",2008,4,1,"Tam Dao Mountain Stream Snake",0,"","no"
"3074","Colubridae","Lycodon","Lycodon meridionalis","BOURRET",1935,7,3,"",0,"","no"
"3075","Lamprophiidae","Bothrophthalmus","Bothrophthalmus brunneus","GÜNTHER",1863,12,1,"",0,"","no"
"3076","Viperidae","Bothrops","Bothrops diporus","COPE",1862,16,4,"Painted Lancehead",0,"","yes"
"3077","Viperidae","Bothrops","Bothrops lutzi","MIRANDA-RIBEIRO",1915,20,4,"Sertao Lancehead",0,"Bothrops iglesiasi","yes"
"3078","Viperidae","Bothrops","Bothrops matogrossensis","AMARAL",1925,12,3,"Mato Grosso Lancehead",0,"","yes"
"3079","Viperidae","Bothrops","Bothrops pauloensis","AMARAL",1925,11,3,"Sao Paulo Lancehead",0,"","yes"
"3080","Viperidae","Bothrops","Bothrops pubescens","COPE",1870,11,4,"Painted Jararaca",0,"","yes"
"3081","Viperidae","Bothrops","Bothrops marmoratus","DA SILVA & RODRIGUES",2008,3,1,"Marbled Lancehead",0,"","yes"
"3082","Viperidae","Atropoides","Atropoides indomitus","SMITH & FERRARI-CASTRO",2008,8,2,"",0,"","yes"
"3083","Viperidae","Atropoides","Atropoides mexicanus","DUMÉRIL, BIBRON & DUMÉRIL",1854,12,7,"",0,"","yes"
"3084","Viperidae","Atropoides","Atropoides occiduus","HOGE",1966,7,3,"",0,"","yes"
"3085","Colubridae","Atractus","Atractus surucucu","PRUDENTE",2008,2,0,"",0,"","no"
"3086","Typhlopidae","Amerotyphlops","Amerotyphlops tycherus","TOWNSEND, WILSON, KETZLER & LUQUE-MONTES",2008,3,1,"",0,"","no"
"3087","Colubridae","Phalotris","Phalotris sansebastiani","JANSEN & KÖHLER",2008,2,0,"",0,"","no"
"3088","Colubridae","Oligodon","Oligodon saintgironsi","DAVID, VOGEL & PAUWELS",2008,2,0,"",0,"","no"
"3089","Colubridae","Oligodon","Oligodon fasciolatus","GÜNTHER",1864,11,2,"Fasciolated Kukri Snake",0,"","no"
"3090","Colubridae","Oligodon","Oligodon pseudotaeniatus","DAVID, VOGEL & VAN ROOIJEN",2008,2,0,"",0,"","no"
"3091","Colubridae","Oligodon","Oligodon deuvei","DAVID, VOGEL & VAN ROOIJEN",2008,2,0,"",0,"","no"
"3092","Colubridae","Oligodon","Oligodon moricei","DAVID, VOGEL & VAN ROOIJEN",2008,2,0,"",0,"","no"
